,name,salary,site
0,Python-разработчик,от 130 000 руб.,hh_ru
1,Python разработчик,от 70 000 руб.,hh_ru
2,Junior Data Engineer,80 000 – 120 000 руб.,hh_ru
3,Python Middle Developer,120 000 – 180 000 руб.,hh_ru
4,Middle QA Automation Engineer (Python),180 000 – 250 000 руб.,hh_ru
5,Middle Backend разработчик (Python),от 160 000 руб.,hh_ru
6,Junior / Middle Data analyst,до 150 000 руб.,hh_ru
7,Ведущий Python разработчик,от 300 000 руб.,hh_ru
8,Python developer,200 000 – 350 000 руб.,hh_ru
9,Программист / Разработчик Python/Django (middle/senior),2 500 – 3 500 USD,hh_ru
10,"C++ developer (3D computer vision, robotics)",150 000 – 220 000 руб.,hh_ru
11,Developer C++,170 000 – 180 000 руб.,hh_ru
12,Machine learning/ML-разработчик,120 000 – 180 000 руб.,hh_ru
13,Python Developer,до 270 руб.,hh_ru
14,Python Developer,от 250 000 руб.,hh_ru
15,Python Backend Developer,90 000 – 200 000 руб.,hh_ru
16,Python - разработчик (ЛитРес: Самиздат),220 000 – 280 000 руб.,hh_ru
17,Python junior/middle backend-разработчик,200 000 – 400 000 руб.,hh_ru
18,Дата-сайентист / Data Scientist [Computer Vision],от 160 000 руб.,hh_ru
19,Python разработчик,200 000 – 350 000 руб.,hh_ru
20,Разработчик-тестировщик Python / C++,от 2 000 EUR,hh_ru
21,Python Developer,50 000 – 90 000 руб.,hh_ru
22,Разработчик C++,до 300 000 руб.,hh_ru
23,Teamlead Backend (Python),120 000 – 160 000 руб.,hh_ru
24,Python разработчик / Backend / Middle,от 100 000 руб.,hh_ru
25,Python developer (Kaspersky Anti Targeted Attack),до 7 000 USD,hh_ru
26,Python Developer,130 000 – 220 000 руб.,hh_ru
27,Инженер - программист 2 категории PYTHON (MIDDLE PYTHON),от 2 000 EUR,hh_ru
28,Python разработчик,230 000 – 400 000 руб.,hh_ru
29,DevOps Engineer (Удалённо),4 000 – 8 000 USD,hh_ru
30,ML Engineer / MLOps (middle to senior),80 000 – 120 000 руб.,hh_ru
31,Python разработчик,от 160 000 руб.,hh_ru
32,Middle Data Engineer,до 300 000 руб.,hh_ru
33,Data Engineer Junior,от 250 000 руб.,hh_ru
34,Разработчик Python,до 300 000 руб.,hh_ru
35,Python разработчик (Django),150 000 – 170 000 руб.,hh_ru
36,Разработчик / Инженер-программист (Python),до 230 000 руб.,hh_ru
37,"Middle Backend Developer (Python, Django REST)",150 000 – 150 000 руб.,hh_ru
38,Разработчик Python (native),от 50 000 руб.,hh_ru
39,Python разработчик,150 000 – 220 000 руб.,hh_ru
40,Программист Python/Системный администратор,от 190 000 руб.,hh_ru
41,Python разработчик (SberDevices),200 000 – 250 000 руб.,hh_ru
42,Python разработчик (удаленно),от 150 000 руб.,hh_ru
43,Python Developer,от 100 000 руб.,hh_ru
44,C++ Gameplay Developer,от 220 000 руб.,hh_ru
45,Go/Python разработчик (Middle),30 000 – 50 000 руб.,hh_ru
46,Senior Data Scientist (Recommender Systems),150 000 – 200 000 руб.,hh_ru
47,Программист Python,200 000 – 400 000 руб.,hh_ru
48,Middle/Senior Разработчик Python,от 200 000 руб.,hh_ru
49,Python разработчик в SberDevices (команда аналитики данных Виртуального ассистента),до 300 000 руб.,hh_ru
50,Python C++ Разработчик-исследователь (machine learning),120 000 – 250 000 руб.,hh_ru
51,"Full-stack developer (Python, SQL, JAVA, Linux)",от 300 000 руб.,hh_ru
52,Инженер данных ( Python),2 500 – 4 000 USD,hh_ru
53,Программист-разработчик на С++,от 200 000 руб.,hh_ru
54,Senior Software Developer,140 000 – 250 000 руб.,hh_ru
55,Backend python developer (CV),5 000 – 7 000 EUR,hh_ru
56,Senior Python-разработчик,100 000 – 140 000 руб.,hh_ru
57,Senior Python Backend Developer,150 000 – 220 000 руб.,hh_ru
58,Junior Kernel Developer - KernelCare [Remote],от 150 000 руб.,hh_ru
59,Python-разработчик (Django),150 000 – 220 000 руб.,hh_ru
60,"Senior Python Engineer (Big Data) for Data Platform Team (Ведущий Python инженер, удаленно)",от 200 000 руб.,hh_ru
